,id,job_title,company,location,rating_provided,rating,salary_provided,weblink,date_recorded,location_model,jurisdiction,city
30,e0a5858914b550fa,Junior Data Analyst,SinaLite,"Remote in Markham, ON",n,,n,https://ca.indeed.com/viewjob?jk=e0a5858914b550fa,2023-11-17,Remote,ON,Markham
31,6284f1c19a9dc083,Data Analyst,407 ETR,"Woodbridge, ON",n,,n,https://ca.indeed.com/viewjob?jk=6284f1c19a9dc083,2023-11-17,Not Specified,ON,Woodbridge
32,554368b7ef1c00d7,Junior Data Analyst,Markdale Financial Management,"Hybrid remote in Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=554368b7ef1c00d7,2023-11-17,Hybrid remote,ON,Toronto
33,04fded7807fe12fb,Junior Analyst,Vincent Associates Inc.,"Hybrid remote in Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=04fded7807fe12fb,2023-11-17,Hybrid remote,ON,Toronto
34,2ca8613a61f6fc02,Junior Business Analyst (remote),Software International,"Remote in Mississauga, ON",n,,y,https://ca.indeed.com/viewjob?jk=2ca8613a61f6fc02,2023-11-17,Remote,ON,Mississauga
35,8af3a3ec162c7056,Program Analyst,Ministry of Health,"Toronto, ON",n,,y,https://ca.indeed.com/viewjob?jk=8af3a3ec162c7056,2023-11-17,Not Specified,ON,Toronto
36,cd7d8b7831c7f1e4,Data Visualization Analyst,Experfy Inc,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=cd7d8b7831c7f1e4,2023-11-17,Not Specified,ON,Toronto
37,1e1404f6abcaa1d4,Data Analyst,WGames Inc.,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=1e1404f6abcaa1d4,2023-11-17,Not Specified,ON,Toronto
38,10ed9f9fd774d49a,Business Services Analyst,Wirewerks,Remote,n,,y,https://ca.indeed.com/viewjob?jk=10ed9f9fd774d49a,2023-11-17,Remote,Not Specified,Remote
39,a09e55e70dddbd32,Business Data Analyst,EV Logistics,"Langley, BC",n,,y,https://ca.indeed.com/viewjob?jk=a09e55e70dddbd32,2023-11-17,Not Specified,BC,Langley
40,f222da43509cdaf8,Junior Data Analyst - Product,Score Media and Gaming Inc.,"Toronto, ON",n,,n,https://ca.indeed.com/viewjob?jk=f222da43509cdaf8,2023-11-17,Not Specified,ON,Toronto
41,b315a1224094a9a4,General Data Analyst,Imperial Distributors Canada Inc,"Richmond, BC",n,,y,https://ca.indeed.com/viewjob?jk=b315a1224094a9a4,2023-11-17,Not Specified,BC,Richmond
42,90ca53940858786d,data quality analyst,Hugo King,"North York, ON",n,,y,https://ca.indeed.com/viewjob?jk=90ca53940858786d,2023-11-17,Not Specified,ON,North York
43,92d41353552c1bc5,Business Analyst,AAA Consulting,Remote,n,,y,https://ca.indeed.com/viewjob?jk=92d41353552c1bc5,2023-11-17,Remote,Not Specified,Remote
